Name,CAS,molarweight,p_sat_AAD,p_sat_AAD_outliers,rho_liq_AAD,rho_liq_sat_AAD,rho_liq_sp_AAD,rho_vap_AAD_outliers,p_sat_n_points,p_sat_n_points_outliers,rho_liq_n_points,rho_liq_sat_n_points,rho_liq_sp_n_points,rho_vap_n_points_outliers,,
trimethyl phosphate,512-56-1,140.024,8.79,(45.09),0.48,0.48,-,-,19,(22),22 ,22 ,-,-,,
furan-2-ylmethyl acetate,623-17-6,140.047,2.12,-,0.27,0.27,-,-,30,-,181 ,181 ,-,-,,
cyclodecane,293-96-9,140.157,0.05,-,0.03,0.03,-,-,21,-,27 ,27 ,-,-,,
1-fluoro-4-nitrobenzene,350-46-9,141.023,1.83,(2.07),1.51,1.51,-,-,47,(48),13 ,13 ,-,-,,
1-fluoro-3-nitrobenzene,402-67-5,141.023,1.28,-,0.42,0.42,-,-,27,-,11 ,11 ,-,-,,
1-bromo-2-chloroethane,107-04-0,141.918,0.65,(26.08),0.09,0.09,-,-,8,(9),26 ,26 ,-,-,,
propane-1-sulfonyl chloride,10147-36-1,141.986,7.94,(11.74),0.25,0.25,-,-,37,(39),22 ,22 ,-,-,,
6-methylquinoline,91-62-3,143.073,2.91,(4.66),0.15,0.15,-,-,5,(6),4 ,4 ,-,-,,
4-methylquinoline,491-35-0,143.073,3.96,(5.62),0.19,0.19,-,-,30,(34),3 ,3 ,-,-,,
naphthalen-1-ol,90-15-3,144.058,3.43,(3.88),0.22,0.22,-,-,78,(81),4 ,4 ,-,-,,
naphthalen-2-ol,135-19-3,144.058,2.98,(6.45),0.02,0.02,-,-,22,(28),3 ,3 ,-,-,,
propyl 3-methylbutanoate,557-00-6,144.115,0.99,(1.45),0.13,0.13,-,-,28,(29),9 ,9 ,-,-,,
ethyl hexanoate,123-66-0,144.115,2.61,(4.96),0.65,0.65,0.00,-,137,(140),223 ,222 ,1 ,-,,
pentyl propanoate,624-54-4,144.115,5.62,(6.17),0.51,0.51,-,-,40,(41),75 ,75 ,-,-,,
methyl heptanoate,106-73-0,144.115,3.40,-,0.37,0.37,0.00,-,70,-,277 ,276 ,1 ,-,,
3-methylbutyl propanoate,105-68-0,144.115,1.68,(4.66),0.80,0.80,-,-,54,(61),73 ,73 ,-,-,,
nonan-5-ol,623-93-8,144.151,2.71,(4.02),0.21,0.21,-,-,18,(19),4 ,4 ,-,-,,
"2-methoxy-2,4,4-trimethylpentane",62108-41-2,144.151,2.80,(4.68),0.32,0.32,-,-,53,(60),24 ,24 ,-,-,,
butyl 2-hydroxypropanoate,138-22-7,146.094,2.61,(4.92),0.23,0.23,-,-,54,(59),163 ,163 ,-,-,,
dipropyl carbonate,623-96-1,146.094,1.51,(1.60),0.07,0.07,-,-,132,(133),10 ,10 ,-,-,,
trimethyl(trimethylsilyl)silane,1450-14-2,146.095,0.38,-,0.46,0.46,-,-,37,-,11 ,11 ,-,-,,
triethyl borate,150-46-9,146.111,7.88,-,0.24,0.24,-,-,54,-,8 ,8 ,-,-,,
2-tert-butylperoxy-2-methylpropane,110-05-4,146.131,10.50,(12.72),4.10,4.10,-,-,116,(125),4 ,4 ,-,-,,
"(z)-1-chloro-2,3,3,3-tetrafluoroprop-1-ene",111512-60-8,147.970,2.12,-,3.18,2.96,4.61,(2.88),167,-,132 ,114 ,18 ,(62),,
1-phenylbutan-1-one,495-40-9,148.089,5.22,(12.09),0.30,0.30,-,-,12,(16),9 ,9 ,-,-,,
4-phenylbutan-2-one,2550-26-7,148.089,2.85,(4.40),0.20,0.20,-,-,24,(25),11 ,11 ,-,-,,
1-chlorooctane,111-85-3,148.102,2.56,(4.11),0.19,0.19,-,-,33,(36),81 ,81 ,-,-,,
1-tert-butyl-4-methylbenzene,98-51-1,148.125,1.72,(3.45),0.17,0.17,-,-,41,(43),4 ,4 ,-,-,,
1-bromopentane,110-53-2,150.004,11.59,-,0.89,0.89,-,-,32,-,131 ,131 ,-,-,,
3-bromopentane,1809-10-5,150.004,6.76,(10.65),0.13,0.13,-,-,11,(12),10 ,10 ,-,-,,
"1,2,3,4-tetrafluorobenzene",551-62-2,150.009,0.64,-,0.59,0.14,0.66,-,46,-,16 ,2 ,14 ,-,,
"2,2,3,3,3-pentafluoropropan-1-ol",422-05-9,150.010,0.64,-,0.57,0.57,-,-,34,-,76 ,76 ,-,-,,
2-(propan-2-yldisulfanyl)propane,4253-89-8,150.054,1.15,-,0.12,0.12,-,-,19,-,8 ,8 ,-,-,,
(5s)-2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,2244-16-8,150.104,1.68,(2.40),0.32,0.32,-,-,47,(48),24 ,24 ,-,-,,
2-butan-2-ylphenol,89-72-5,150.104,1.26,(3.30),0.60,0.60,-,-,28,(32),12 ,12 ,-,-,,
butoxybenzene,1126-79-0,150.104,1.65,-,0.05,0.05,-,-,12,-,11 ,11 ,-,-,,
"2,5-dichlorothiophene",3172-52-9,151.925,2.04,(7.09),0.18,0.18,-,-,16,(20),4 ,4 ,-,-,,
2-nitrooxyethyl nitrate,628-96-6,152.007,7.12,(10.14),0.22,0.22,-,-,62,(72),18 ,18 ,-,-,,
methyl phenyl carbonate,13509-27-8,152.047,1.18,-,0.01,0.01,-,-,23,-,10 ,10 ,-,-,,
"(2e)-3,7-dimethylocta-2,6-dienal",5392-40-5,152.120,2.18,(3.46),0.30,0.30,-,-,30,(33),124 ,124 ,-,-,,
"3,7-dimethyloct-6-en-1-yn-3-ol",29171-20-8,152.120,2.09,(3.81),0.10,0.10,-,-,52,(58),6 ,6 ,-,-,,
"2,3,4,6,7,8,9,10-octahydropyrimido[1,2-a]azepine",6674-22-2,152.131,1.58,-,0.26,0.26,-,-,19,-,23 ,23 ,-,-,,
undec-1-yne,2243-98-3,152.157,3.34,(5.41),0.06,0.06,-,-,7,(8),4 ,4 ,-,-,,
1-chloro-3-isocyanatobenzene,2909-38-8,152.998,4.36,-,0.06,0.06,-,-,41,-,8 ,8 ,-,-,,
n-dichloroboranyl-n-ethylethanamine,868-30-4,153.028,1.60,-,0.27,-,0.27,-,10,-,8 ,-,8 ,-,,
naphthalene-1-carbonitrile,86-53-3,153.058,1.34,(16.22),0.17,0.17,-,-,31,(33),3 ,3 ,-,-,,
"1-methyl-2,3,4,6,7,8-hexahydropyrimido[1,2-a]pyrimidine",84030-20-6,153.127,2.28,-,0.24,0.24,-,-,21,-,90 ,90 ,-,-,,
1-(4-chlorophenyl)ethanone,99-91-2,154.019,0.40,(1.31),0.15,0.15,-,-,29,(30),5 ,5 ,-,-,,
diethyl sulfate,64-67-5,154.030,1.95,(4.99),0.22,0.22,-,-,13,(17),40 ,40 ,-,-,,
"1,6-dichlorohexane",2163-00-0,154.032,3.59,(20.37),0.17,0.17,-,-,26,(33),202 ,202 ,-,-,,
furan-2-ylmethyl propanoate,623-19-8,154.063,1.26,-,0.32,0.32,-,-,25,-,181 ,181 ,-,-,,
"(2s,5r)-5-methyl-2-propan-2-ylcyclohexan-1-one",14073-97-3,154.136,0.83,(1.63),0.10,0.10,-,-,84,(86),19 ,19 ,-,-,,
"3,7-dimethylocta-1,6-dien-3-ol",78-70-6,154.136,1.35,(3.83),0.33,0.33,-,-,95,(107),139 ,139 ,-,-,,
"(2e)-3,7-dimethylocta-2,6-dien-1-ol",106-24-1,154.136,1.12,(1.45),0.21,0.21,-,-,85,(86),19 ,19 ,-,-,,
"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",470-82-6,154.136,3.18,(3.69),0.49,0.49,-,-,107,(111),76 ,76 ,-,-,,
1-azidooctane,7438-05-3,155.142,4.76,(5.41),0.63,0.63,-,-,30,(31),9 ,9 ,-,-,,
1-bromo-3-chloropropane,109-70-6,155.934,6.21,-,0.13,0.13,-,-,9,-,4 ,4 ,-,-,,
triethylgallane,1115-99-7,156.043,2.80,(9.46),0.56,0.56,-,-,54,(68),9 ,9 ,-,-,,
"1,6-dimethylnaphthalene",575-43-9,156.094,2.13,(18.83),0.25,0.25,-,-,27,(30),4 ,4 ,-,-,,
"1,2-dimethylnaphthalene",573-98-8,156.094,3.95,(4.41),0.35,0.35,-,-,19,(20),4 ,4 ,-,-,,
5-pentyloxolan-2-one,104-61-0,156.115,2.71,-,0.25,0.25,-,-,20,-,60 ,60 ,-,-,,
tripropylalumane,102-67-0,156.146,10.77,(21.88),1.44,1.44,-,-,6,(7),7 ,7 ,-,-,,
5-methyl-2-propan-2-ylcyclohexan-1-ol,89-78-1,156.151,1.63,(6.54),0.11,0.11,-,-,49,(61),11 ,11 ,-,-,,
"2,4,6-trimethyloctane",62016-37-9,156.188,2.44,-,0.27,0.27,-,-,9,-,4 ,4 ,-,-,,
"2,4-dimethylnonane",17302-24-8,156.188,2.47,-,0.24,0.24,-,-,9,-,4 ,4 ,-,-,,
5-methyldecane,13151-35-4,156.188,2.47,(8.09),0.03,0.03,-,-,8,(9),4 ,4 ,-,-,,
4-methyldecane,2847-72-5,156.188,2.23,-,0.04,0.04,-,-,11,-,4 ,4 ,-,-,,
ethyl heptanoate,106-30-9,158.131,7.38,-,2.60,2.62,0.02,-,10,-,113 ,112 ,1 ,-,,
3-methyl-1-(3-methylbutoxy)butane,544-01-4,158.167,3.25,(3.76),0.55,0.55,-,-,16,(17),142 ,142 ,-,-,,
3-methylbutyl2-hydroxypropanoate,19329-89-6,160.110,0.88,(4.32),0.09,0.09,-,-,22,(23),31 ,31 ,-,-,,
1-(butoxymethoxy)butane,2568-90-3,160.146,1.33,-,0.13,0.13,-,-,49,-,10 ,10 ,-,-,,
"2,4-dichlorophenol",120-83-2,161.964,1.61,(1.92),0.07,0.07,-,-,39,(40),12 ,12 ,-,-,,
bromocyclohexane,108-85-0,162.004,1.80,-,0.29,0.29,-,-,58,-,14 ,14 ,-,-,,
"2-chloro-1-ethoxy-1,1,2-trifluoroethane",310-71-4,162.006,0.22,-,0.01,0.01,-,-,23,-,4 ,4 ,-,-,,
3-[(2s)-1-methylpyrrolidin-2-yl]pyridine,54-11-5,162.116,5.49,(11.82),0.10,0.10,-,-,99,(124),8 ,8 ,-,-,,
1-chlorononane,2473-01-0,162.118,1.59,-,0.33,0.39,0.03,-,17,-,95 ,78 ,17 ,-,,
"(z)-1,1,1,4,4,4-hexafluorobut-2-ene",692-49-9,164.006,6.71,-,1.71,1.70,2.01,(5.82),328,-,349 ,338 ,11 ,(8),,
"(e)-1,1,1,4,4,4-hexafluorobut-2-ene",66711-86-2,164.006,0.50,-,1.31,1.35,1.17,(1.52),62,-,44 ,34 ,10 ,(21),,
1-bromohexane,111-25-1,164.020,2.85,(3.54),0.17,0.17,-,-,34,(36),43 ,43 ,-,-,,
2-tert-butyl-4-methylphenol,2409-55-4,164.120,2.32,(3.60),0.03,0.03,-,-,44,(48),3 ,3 ,-,-,,
1-ethyladamantane,770-69-4,164.157,1.38,(3.91),0.15,0.15,-,-,7,(8),20 ,20 ,-,-,,
"2,3-dichloro-1,1,1-trifluoropropane",338-75-0,165.956,2.49,(3.15),0.37,0.37,-,-,112,(119),62 ,62 ,-,-,,
"2,2,3-trifluoro-3-(trifluoromethyl)oxirane",428-59-1,165.985,1.27,-,1.45,1.44,1.86,(1.25),107,-,708 ,699 ,9 ,(647),,
"2,2,3,3,4,4-hexafluorooxetane",425-82-1,165.985,1.03,-,0.64,-,0.64,-,35,-,9 ,-,9 ,-,,
triethyl phosphite,122-52-1,166.076,7.43,(72.82),0.96,0.96,-,-,85,(107),43 ,43 ,-,-,,
methoxy(methoxymethoxymethoxymethoxy)methane,13352-75-5,166.084,3.07,-,0.15,0.15,-,-,22,-,15 ,15 ,-,-,,
dodec-1-yne,765-03-7,166.172,6.95,(12.66),0.50,0.50,-,-,5,(6),4 ,4 ,-,-,,
"1,2,3,4,5-pentafluorobenzene",363-72-4,168.000,0.61,-,0.54,0.05,0.60,-,102,-,29 ,3 ,26 ,-,,
"1,1,1,3,3,3-hexafluoropropan-2-ol",920-66-1,168.001,1.11,-,0.07,0.07,-,-,108,-,7 ,7 ,-,-,,
"1,2-dinitrobenzene",528-29-0,168.017,2.64,-,0.19,0.19,-,-,16,-,10 ,10 ,-,-,,
"1,7-dichloroheptane",821-76-1,168.047,4.81,(5.98),0.21,0.21,-,-,18,(19),4 ,4 ,-,-,,
furan-2-ylmethyl butanoate,623-21-2,168.079,0.52,(7.89),0.31,0.31,-,-,26,(27),181 ,181 ,-,-,,
"1,6-diisocyanatohexane",822-06-0,168.090,6.37,(28.86),3.71,4.38,2.06,-,65,(81),31 ,22 ,9 ,-,,
cycloundecanone,878-13-7,168.151,7.36,-,0.70,0.70,-,-,8,-,9 ,9 ,-,-,,
cyclododecane,294-62-2,168.188,0.78,-,0.12,0.12,-,-,19,-,8 ,8 ,-,-,,
hexylcyclohexane,4292-75-5,168.188,1.18,(2.47),0.07,0.07,-,-,25,(26),33 ,33 ,-,-,,
dichloro(trifluoromethyl)phosphane,421-58-9,169.907,3.12,-,0.53,0.53,-,-,7,-,6 ,6 ,-,-,,
carbon monoxide; nickel,13463-39-3,169.915,3.07,(3.39),0.90,0.97,0.07,-,96,(98),28 ,26 ,2 ,-,,
1-bromo-2-methylbenzene,95-46-5,169.973,2.83,-,0.60,0.60,-,-,53,-,13 ,13 ,-,-,,
2-propan-2-ylnaphthalene,2027-17-0,170.110,1.66,(3.44),0.26,0.26,-,-,23,(25),4 ,4 ,-,-,,
undecan-2-one,112-12-9,170.167,1.43,(3.25),0.08,0.08,-,-,35,(40),9 ,9 ,-,-,,
"2,4-dimethyldecane",2801-84-5,170.203,2.41,-,0.16,0.16,-,-,9,-,4 ,4 ,-,-,,
"2,4,6-trimethylnonane",62184-10-5,170.203,2.37,-,0.22,0.22,-,-,9,-,4 ,4 ,-,-,,
5-methylundecane,1632-70-8,170.203,2.42,-,0.07,0.07,-,-,10,-,4 ,4 ,-,-,,
4-methylundecane,2980-69-0,170.203,2.53,(3.73),0.07,0.07,-,-,9,(10),4 ,4 ,-,-,,
butyl 4-oxopentanoate,2052-15-5,172.110,2.64,-,0.35,0.35,-,-,23,-,139 ,139 ,-,-,,
methyl nonanoate,1731-84-6,172.146,1.45,-,0.65,0.66,0.01,-,11,-,198 ,197 ,1 ,-,,
"1,1,3,3-tetraethylurea",1187-03-7,172.158,4.21,-,0.37,0.37,-,-,20,-,6 ,6 ,-,-,,
1-methoxydecane,7289-52-3,172.183,0.25,-,0.02,0.02,-,-,49,-,3 ,3 ,-,-,,
1-bromo-4-fluorobenzene,460-00-4,173.948,2.08,-,0.22,0.22,-,-,40,-,15 ,15 ,-,-,,
"2,4-diisocyanato-1-methylbenzene",584-84-9,174.043,3.41,(14.51),0.09,0.09,-,-,64,(81),12 ,12 ,-,-,,
dipropan-2-yl oxalate,615-81-6,174.089,2.08,-,0.06,0.06,-,-,25,-,9 ,9 ,-,-,,
diethyl 2-methylpropanedioate,609-08-5,174.089,2.38,(3.74),0.09,0.09,-,-,15,(16),10 ,10 ,-,-,,
dipropyl oxalate,615-98-5,174.089,3.48,-,0.08,0.08,-,-,22,-,13 ,13 ,-,-,,
dimethyl hexanedioate,627-93-0,174.089,3.22,(11.82),0.24,0.24,-,-,106,(129),213 ,213 ,-,-,,
dibutyl carbonate,542-52-9,174.126,2.94,(3.46),0.37,0.37,-,-,46,(48),10 ,10 ,-,-,,
1-(1-butoxyethoxy)butane,871-22-7,174.162,2.72,(8.35),0.09,0.09,-,-,39,(49),10 ,10 ,-,-,,
1-chloro-2-fluoro-3-nitrobenzene,2106-49-2,174.984,2.23,-,0.06,0.06,-,-,21,-,7 ,7 ,-,-,,
benzenesulfonyl chloride,98-09-9,175.970,5.23,(6.66),0.31,0.31,-,-,14,(15),9 ,9 ,-,-,,
"2-chloro-1,1,2-trifluoroethylpropyl ether",380-43-8,176.022,0.08,-,0.01,0.01,-,-,24,-,4 ,4 ,-,-,,
(3-acetyloxy-2-hydroxypropyl)acetate,105-70-4,176.068,3.46,(9.53),0.67,0.67,-,-,8,(11),15 ,15 ,-,-,,
1-chlorodecane,1002-69-3,176.133,2.07,-,0.16,0.16,-,-,22,-,22 ,22 ,-,-,,
"1,3,5-trimethyladamantane",707-35-7,178.172,5.45,-,0.17,0.17,-,-,22,-,20 ,20 ,-,-,,
benzo[h]quinoline,230-27-3,179.073,0.35,-,0.13,-,0.13,-,35,-,8 ,-,8 ,-,,
phenanthridine,229-87-8,179.073,0.67,-,0.18,-,0.18,-,51,-,6 ,-,6 ,-,,
n-[bis(dimethylamino)phosphoryl]-n-methylmethanamine,680-31-9,179.119,7.01,(19.79),0.18,0.18,-,-,35,(44),32 ,32 ,-,-,,
tetramethylstannane,594-27-4,179.996,1.22,(1.70),0.16,0.19,0.12,-,98,(101),11 ,6 ,5 ,-,,
tridec-1-yne,26186-02-7,180.188,0.79,-,0.07,0.07,-,-,6,-,4 ,4 ,-,-,,
"2-chloro-1-(chloromethoxy)-1,1,2-trifluoroethane",428-92-2,181.951,0.34,-,0.02,0.02,-,-,22,-,4 ,4 ,-,-,,
"2,2,4,4,5,5-hexafluoro-1,3-dioxolane",21297-65-4,181.980,0.47,-,0.80,-,0.80,-,37,-,8 ,-,8 ,-,,
"1,2,3,4,5-pentafluoro-6-methylbenzene",771-56-2,182.015,0.20,-,0.30,0.01,0.32,-,50,-,15 ,1 ,14 ,-,,
"1,1,1,3,3,3-hexafluoro-2-methoxypropane",13171-18-1,182.017,0.58,-,0.22,0.24,0.08,(1.34),79,-,174 ,149 ,25 ,(105),,
"1-(2,2-difluoroethoxy)-1,1,2,2-tetrafluoroethane",50807-77-7,182.017,2.05,(3.83),0.06,0.06,-,-,29,(30),10 ,10 ,-,-,,
"1,1,1-trifluoro-2-(1,1,2-trifluoroethoxy)ethane",25449-61-0,182.017,0.41,-,0.04,0.04,-,-,8,-,10 ,10 ,-,-,,
"1-methyl-2,4-dinitrobenzene",121-14-2,182.033,5.85,(7.59),0.24,0.24,-,-,74,(81),8 ,8 ,-,-,,
"1,8-dichlorooctane",2162-99-4,182.063,2.73,(2.92),0.16,0.16,-,-,16,(17),4 ,4 ,-,-,,
triethyl phosphate,78-40-0,182.071,9.61,(13.28),0.25,0.25,-,-,103,(112),42 ,42 ,-,-,,
cyclododecanone,830-13-7,182.167,0.20,-,0.09,0.09,-,-,26,-,9 ,9 ,-,-,,
heptylcyclohexane,5617-41-4,182.203,0.96,(2.70),0.41,0.41,-,-,21,(23),55 ,55 ,-,-,,
"2-chloro-1-(difluoromethoxy)-1,1,2-trifluoroethane",13838-16-9,183.971,0.42,-,0.03,0.03,-,-,34,-,4 ,4 ,-,-,,
1-iodo-2-methylpropane,513-38-2,183.975,1.08,-,0.09,0.09,-,-,54,-,15 ,15 ,-,-,,
2-iodobutane,513-48-4,183.975,2.01,(4.76),0.09,0.09,-,-,10,(11),9 ,9 ,-,-,,
2-bromoethylbenzene,103-63-9,183.989,1.64,(6.13),0.23,0.23,-,-,11,(13),10 ,10 ,-,-,,
4-methyldodecane,6117-97-1,184.219,2.48,(4.84),0.02,0.02,-,-,9,(10),4 ,4 ,-,-,,
"2,4,6-trimethyldecane",62108-27-4,184.219,2.46,-,0.18,0.18,-,-,9,-,4 ,4 ,-,-,,
"2,4-dimethylundecane",17312-80-0,184.219,2.50,-,0.19,0.19,-,-,9,-,4 ,4 ,-,-,,
5-methyldodecane,17453-93-9,184.219,2.54,(3.67),0.03,0.03,-,-,10,(11),4 ,4 ,-,-,,
"9-methyl-1,2,3,4-tetrahydrocarbazole",6303-88-4,185.120,0.37,-,0.11,0.11,-,-,34,-,6 ,6 ,-,-,,
n-hexylhexan-1-amine,143-16-8,185.214,2.89,-,0.25,0.25,-,-,6,-,10 ,10 ,-,-,,
"1,1,2,2-tetrafluoro-1-(trifluoromethoxy)ethane",2356-61-8,185.992,2.06,(2.26),1.14,-,1.14,-,52,(53),18 ,-,18 ,-,,
phenylsulfanylbenzene,139-66-2,186.050,2.19,(32.47),0.25,0.25,-,-,47,(56),8 ,8 ,-,-,,
"diethylcyclopropane-1,1-dicarboxylate",1559-02-0,186.089,1.21,-,0.10,0.10,-,-,8,-,13 ,13 ,-,-,,
ethyl nonanoate,123-29-5,186.162,1.33,-,0.16,0.16,-,-,27,-,45 ,45 ,-,-,,
"1,2,3,4-tetrahydrodibenzothiophene",16587-33-0,188.066,0.34,-,0.14,-,0.14,-,37,-,6 ,-,6 ,-,,
diethyl pentanedioate,818-38-2,188.105,2.67,(5.53),0.13,0.13,-,-,39,(46),12 ,12 ,-,-,,
dimethyl heptanedioate,1732-08-7,188.105,4.12,(13.23),0.44,0.44,-,-,17,(20),6 ,6 ,-,-,,
tripropan-2-yl borate,5419-55-6,188.158,2.00,-,0.08,0.08,-,-,11,-,9 ,9 ,-,-,,
tripropyl borate,688-71-1,188.158,3.11,(11.44),0.05,0.05,-,-,28,(35),11 ,11 ,-,-,,
tetraethylgermane,597-63-7,190.078,2.71,(3.35),0.69,0.55,0.81,-,47,(49),17 ,8 ,9 ,-,,
ethenyl(triethoxy)silane,78-08-0,190.103,3.79,-,0.08,0.08,-,-,52,-,5 ,5 ,-,-,,
1-chloroundecane,2473-03-2,190.149,0.39,(1.20),0.13,0.13,-,-,14,(15),9 ,9 ,-,-,,
"1,4-dichloro-2-nitrobenzene",89-61-2,190.954,2.08,-,0.32,0.32,-,-,10,-,10 ,10 ,-,-,,
1-bromooctane,111-83-1,192.051,4.58,(12.92),0.28,0.28,-,-,13,(16),32 ,32 ,-,-,,
methyl 4-tert-butylbenzoate,26537-19-9,192.115,4.35,-,0.16,0.16,-,-,68,-,13 ,13 ,-,-,,
"6,10-dimethylundeca-4,5,9-trien-2-one",16647-05-5,192.151,2.90,(4.82),0.09,0.09,-,-,11,(12),6 ,6 ,-,-,,
"(3e,5e)-6,10-dimethylundeca-3,5,9-trien-2-one",141-10-6,192.151,3.12,(3.90),0.11,0.11,-,-,19,(20),6 ,6 ,-,-,,
dichloro(phenoxy)phosphane,3426-89-9,193.946,1.27,-,1.22,1.22,-,-,27,-,14 ,14 ,-,-,,
2-cyclohexylethylcyclohexane,3321-50-4,194.203,5.59,-,0.32,0.32,-,-,5,-,14 ,14 ,-,-,,
9-ethylcarbazole,86-28-2,195.105,3.18,-,0.07,0.07,-,-,25,-,24 ,24 ,-,-,,
carbon monoxide; iron,13463-40-6,195.910,1.79,(5.07),0.26,0.26,-,-,200,(212),34 ,34 ,-,-,,
"2,4,6-trichlorophenol",88-06-2,195.925,2.30,-,0.09,0.09,-,-,66,-,9 ,9 ,-,-,,
tetranitromethane,509-14-8,195.972,1.13,(3.15),0.15,0.15,-,-,62,(65),17 ,17 ,-,-,,
octylcyclohexane,1795-15-9,196.219,2.80,(4.71),0.14,0.14,-,-,24,(26),36 ,36 ,-,-,,
n-benzyl-1-phenylmethanamine,103-49-1,197.120,9.11,(17.06),1.32,1.32,-,-,5,(6),66 ,66 ,-,-,,
1-iodopentane,628-17-1,197.991,8.34,(11.97),0.39,0.39,-,-,14,(15),33 ,33 ,-,-,,
"6,10-dimethylundecan-2-one",1604-34-8,198.198,1.51,(3.89),0.11,0.11,-,-,24,(27),8 ,8 ,-,-,,
"2,4,6-trimethylundecane",107771-01-7,198.235,2.59,-,0.27,0.27,-,-,9,-,4 ,4 ,-,-,,
4-methyltridecane,26730-12-1,198.235,2.86,-,0.09,0.09,-,-,10,-,4 ,4 ,-,-,,
5-methyltridecane,25117-31-1,198.235,2.55,-,0.07,0.07,-,-,10,-,4 ,4 ,-,-,,
"2,4-dimethyldodecane",6117-99-3,198.235,3.36,-,0.14,0.14,-,-,9,-,4 ,4 ,-,-,,
"1,1,2,2-tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane",406-78-0,200.007,0.94,-,0.75,0.80,0.09,-,29,-,283 ,263 ,20 ,-,,
phenoxathiine,262-20-4,200.030,0.75,-,0.20,-,0.20,-,56,-,9 ,-,9 ,-,,
"diethylcyclobutane-1,1-dicarboxylate",3779-29-1,200.105,3.00,-,0.13,0.13,-,-,9,-,12 ,12 ,-,-,,
1-bromo-3-nitrobenzene,585-79-5,200.943,3.62,(4.65),0.12,0.12,-,-,9,(10),14 ,14 ,-,-,,
butyl(dichloro)arsane,692-23-9,201.930,3.74,(6.38),0.04,0.04,-,-,5,(6),3 ,3 ,-,-,,
"3,3-dichloro-1,1,1,2,2-pentafluoropropane",422-56-0,201.938,2.72,(3.88),0.15,0.17,0.06,-,59,(64),165 ,138 ,27 ,-,,
"1,3-dichloro-1,1,2,2,3-pentafluoropropane",507-55-1,201.938,2.68,(3.76),0.33,0.31,0.41,-,75,(79),178 ,142 ,36 ,-,,
"benzene-1,2-dicarbonylchloride",88-95-9,201.959,2.56,(4.52),0.10,0.10,-,-,13,(14),5 ,5 ,-,-,,
"1-chloro-2,3,4,5,6-pentafluorobenzene",344-07-0,201.961,0.56,(0.72),2.05,1.10,2.19,-,89,(90),16 ,2 ,14 ,-,,
"1,1,1,2,2,3,3,4-octafluorobutane",662-35-1,202.003,0.65,-,0.58,0.57,1.13,-,37,-,401 ,394 ,7 ,-,,
dibutyl oxalate,2050-60-4,202.121,2.76,(3.52),0.07,0.07,-,-,59,(60),14 ,14 ,-,-,,
dimethyl octanedioate,1732-09-8,202.121,10.93,(78.00),0.19,0.19,-,-,19,(22),14 ,14 ,-,-,,
diethyl hexanedioate,141-28-6,202.121,3.79,(10.23),0.41,0.41,-,-,48,(56),132 ,132 ,-,-,,
dipropyl butanedioate,925-15-5,202.121,1.96,(2.99),0.41,0.41,-,-,17,(18),74 ,74 ,-,-,,
butyl 3-butoxypropanoate,14144-48-0,202.157,3.65,(4.47),0.22,0.22,-,-,10,(11),4 ,4 ,-,-,,
1-hexylsulfanylhexane,6294-31-1,202.176,1.83,(3.54),0.12,0.12,-,-,20,(21),9 ,9 ,-,-,,
1-chlorododecane,112-52-7,204.164,2.02,(5.36),0.14,0.14,-,-,24,(29),13 ,13 ,-,-,,
1-bromononane,693-58-3,206.067,2.94,(7.91),0.28,0.28,-,-,6,(7),26 ,26 ,-,-,,
"4,5,9,10-tetrahydropyrene",781-17-9,206.110,0.42,-,0.06,-,0.06,-,30,-,5 ,-,5 ,-,,
beryllium;(z)-4-oxopent-2-en-2-olate,10210-64-7,207.101,2.08,(2.67),0.06,0.06,-,-,47,(49),5 ,5 ,-,-,,
"1,1,1,5-tetrachloropentane",2467-10-9,207.938,5.06,-,1.44,1.44,-,-,13,-,30 ,30 ,-,-,,
"1,1,1,5,5,5-hexafluoropentane-2,4-dione",1522-22-1,207.996,6.10,(7.67),0.99,-,0.99,-,22,(24),7 ,-,7 ,-,,
"1,2,3,6,7,8-hexahydropyrene",1732-13-4,208.125,0.99,-,0.07,-,0.07,-,30,-,5 ,-,5 ,-,,
dichloro-phenyl-sulfanylidene-lambda5-phosphane,3497-00-5,209.923,3.31,(12.87),0.39,0.39,-,-,14,(15),13 ,13 ,-,-,,
iodocyclohexane,626-62-0,209.991,4.03,-,0.16,0.16,-,-,14,-,10 ,10 ,-,-,,
2-pentylnon-2-enal,3021-89-4,210.198,0.88,-,0.04,0.04,-,-,13,-,6 ,6 ,-,-,,
"2-(1,2-dimethylpropyl)-5,6-dimethyl-2-heptenal",99914-84-8,210.198,0.41,-,0.06,0.06,-,-,14,-,12 ,12 ,-,-,,
nonylcyclohexane,2883-02-5,210.235,2.34,(3.61),0.10,0.10,-,-,20,(21),18 ,18 ,-,-,,
hexafluoromolybdenum,7783-77-9,211.896,0.30,-,0.29,-,0.29,-,27,-,8 ,-,8 ,-,,
"3,3,4,4,5,5,5-heptafluoropentan-2-one",355-17-9,212.007,1.84,-,0.08,0.08,-,-,20,-,10 ,10 ,-,-,,
